Wave Flux FluxCon
3465.0 5.239403 2.8725163068
3465.4 5.267097 3.33711879955
3465.8 5.303387 3.76723895109
3466.2 5.263391 4.14538109912
3466.6 5.246483 4.46100277334
3467.0 5.282001 4.71100013817
3467.4 5.292768 4.89877480031
3467.8 5.300349 5.03234745786
3468.2 5.255678 5.12213167757
3468.6 5.274207 5.17892390616
3469.0 5.254699 5.21245991826
3469.4 5.234747 5.23063529313
3469.8 5.226267 5.23930317596
3470.2 5.232912 5.24246878929
3470.6 5.271508 5.24267550868
3471.0 5.264818 5.24143162034
3471.4 5.244421 5.23957972171
3471.8 5.218194 5.23757053595
3472.2 5.223859 5.23563991622
3472.6 5.237653 5.23386077086
3473.0 5.213027 5.23235253104
3473.4 5.219088 5.23109279062
3473.8 5.247883 5.2300274618
3474.2 5.248301 5.22907142639
3474.6 5.204473 5.2281177539
3475.0 5.216378 5.22705091857
3475.4 5.255389 5.22576186828
3475.8 5.224982 5.22416440805
3476.2 5.21355 5.22220953812
3476.6 5.243898 5.21990041742
3477.0 5.220253 5.2172990999
3477.4 5.222838 5.21452746189
3477.8 5.2131 5.21175440263
3478.2 5.208319 5.2091730348
3478.6 5.191802 5.20697078418
3479.0 5.171674 5.20529343837
3479.4 5.199648 5.20421744231
3479.8 5.202783 5.20373384834
3480.2 5.193203 5.2037508251
3480.6 5.195471 5.20411634689
3481.0 5.1953 5.20465048254
3481.4 5.224546 5.20518782457
3481.8 5.24735 5.2056101388
3482.2 5.217257 5.20586529186
3482.6 5.196841 5.20596400171
3483.0 5.18395 5.20596547456
3483.4 5.198606 5.20595359087
3483.8 5.192771 5.20601529848
3484.2 5.188757 5.20623251918
3484.6 5.230134 5.20668441191
3485.0 5.242555 5.20745324539
3485.4 5.212471 5.20862953917
3485.8 5.188757 5.21030340327
3486.2 5.172628 5.21254518248
3486.6 5.186641 5.21537866713
3487.0 5.219321 5.21875947407
3487.4 5.218311 5.22256909027
3487.8 5.24664 5.2266235313
3488.2 5.236248 5.23070173058
3488.6 5.241688 5.23457928003
3489.0 5.229437 5.23805972177
3489.4 5.260213 5.24099978338
3489.8 5.268414 5.24331545734
3490.2 5.260442 5.2449725872
3490.6 5.233311 5.24597322866
3491.0 5.230587 5.2463340145
3491.4 5.257637 5.24606897613
3491.8 5.261249 5.24517864517
3492.2 5.253716 5.24364943345
3492.6 5.244397 5.24146572768
3493.0 5.239738 5.2386216313
3493.4 5.250415 5.23513413708
3493.8 5.248339 5.23105221953
3494.2 5.234703 5.22645797162
3494.6 5.227623 5.22145710087
3495.0 5.192125 5.21616533984
3495.4 5.207519 5.21069526236
3495.8 5.222389 5.20514771752
3496.2 5.177845 5.19960842625
3496.6 5.189443 5.1941541884
3497.0 5.225841 5.18885841852
3497.4 5.183822 5.18379998834
3497.8 5.157892 5.17906051207
3498.2 5.153863 5.17471727756
3498.6 5.165071 5.1708332173
3499.0 5.177816 5.16744756614
3499.4 5.142833 5.16457230472
3499.8 5.151935 5.16219621951
3500.2 5.169023 5.16029823108
3500.6 5.167355 5.15886229675
3501.0 5.139207 5.15788845136
3501.4 5.164485 5.15739573228
3501.8 5.176108 5.15741011416
3502.2 5.131727 5.15794576776
3502.6 5.127766 5.15898347463
3503.0 5.142043 5.16045280172
3503.4 5.160367 5.16223251156
3503.8 5.186172 5.16416623252
3504.2 5.166138 5.16608300638
3504.6 5.18498 5.16782931311
3505.0 5.199634 5.16928845743
3505.4 5.16929 5.17038015926
3505.8 5.152696 5.17104915919
3506.2 5.161606 5.1712411285
3506.6 5.173879 5.17087920587
3507.0 5.172467 5.16985169367
3507.4 5.182479 5.16801725877
3507.8 5.189393 5.16523187181
3508.2 5.175224 5.16138485673
3508.6 5.185647 5.15643418945
3509.0 5.16479 5.15043260007
3509.4 5.151646 5.14353867162
3509.8 5.157173 5.13600395835
3510.2 5.123946 5.1281450674
3510.6 5.071472 5.12031107304
3511.0 5.118559 5.1128461993
3511.4 5.10438 5.10605696796
3511.8 5.085022 5.10019341955
3512.2 5.093221 5.09543816315
3512.6 5.073593 5.09190188239
3513.0 5.053853 5.08963657766
3513.4 5.056589 5.08864586729
3513.8 5.091348 5.08890622467
3514.2 5.11066 5.09038299291
3514.6 5.096653 5.09303995341
3515.0 5.074264 5.09683678624
3515.4 5.084435 5.10171064333
3515.8 5.082467 5.10755114549
3516.2 5.079998 5.11417694072
3516.6 5.119561 5.12132677534
3517.0 5.141327 5.12867050919
3517.4 5.131505 5.13584258339
3517.8 5.160357 5.14249201246
3518.2 5.214201 5.14833015695
3518.6 5.174849 5.1531648904
3519.0 5.131132 5.15691551544
3519.4 5.202353 5.15960119217
3519.8 5.133042 5.16131402566
3520.2 5.158285 5.16218541411
3520.6 5.165504 5.16235815405
3521.0 5.194206 5.1619678839
3521.4 5.180504 5.16113384149
3521.8 5.137936 5.15995718269
3522.2 5.158051 5.15851682763
3522.6 5.163256 5.1568629297
3523.0 5.147838 5.15501039664
3523.4 5.145501 5.1529330157
3523.8 5.149128 5.15056433355
3524.2 5.170268 5.14781009979
3524.6 5.148223 5.14456731281
3525.0 5.135864 5.1407521827
3525.4 5.156286 5.13632431917
