Wave Flux FluxNorm
3600 1.71879228044 1.70911599764
3605 1.71381931799 1.70417103148
3610 1.70447154484 1.69487588347
3615 1.70683422479 1.69722526225
3620 1.70844017021 1.69882216667
3625 1.71207436532 1.70243590237
3630 1.70767277619 1.69805909285
3635 1.68794814838 1.67844550876
3640 1.70464914259 1.6950524814
3645 1.70967990189 1.70005491904
3650 1.71372470287 1.70407694901
3655 1.71652185884 1.70685835783
3660 1.71910950669 1.70943143801
3665 1.73265381697 1.7228994979
3670 1.73615296051 1.72637894232
3675 1.7376862399 1.7279035898
3680 1.73974322463 1.72994899433
3685 1.73870490777 1.72891652288
3690 1.74112760631 1.73132558235
3695 1.7422701025 1.73246164664
3700 1.75923449873 1.74933053843
3705 1.70572974834 1.69612700367
3710 1.74088259153 1.73108194694
3715 1.82685190606 1.81656728012
3720 1.73503063545 1.72526293561
3725 1.84306613824 1.83269023106
3730 1.95615389409 1.94514133691
3735 1.60251396158 1.5934922907
3740 2.12827773101 2.11629616848
3745 2.11222615691 2.1003349599
3750 1.54433368493 1.53563955147
3755 2.09116771273 2.07939506842
3760 2.49511769416 2.48107093313
3765 2.24817588461 2.23551933159
3770 1.53740189801 1.52874678843
3775 2.04364884921 2.03214372179
3780 2.66243628531 2.64744757102
3785 2.80707709828 2.79127409978
3790 2.58003759351 2.56551275903
3795 1.85286140886 1.84243035726
3800 1.64780518135 1.63852853454
3805 2.4583842595 2.44454429665
3810 2.89154489483 2.87526636808
3815 2.95716975878 2.94052178381
3820 2.59053567104 2.57595173555
3825 2.79283768854 2.77711485362
3830 2.28712097872 2.27424517655
3835 1.50630109025 1.49782106885
3840 2.08910207557 2.07734106018
3845 2.74986725521 2.7343863309
3850 3.0126705931 2.99571016515
3855 3.05374140316 3.03654975892
3860 3.14569270427 3.12798340191
3865 3.10053250996 3.08307744589
3870 3.02142644953 3.00441672875
3875 2.96044891755 2.94378248191
3880 2.71603322872 2.70074277979
3885 2.05213392003 2.04058102421
3890 1.50302694038 1.49456535146
3895 2.29271849942 2.2798111849
3900 2.81323483655 2.79739717184
3905 3.0294346766 3.01237987192
3910 3.12796769967 3.11035818374
3915 3.15808102551 3.14030198063
3920 3.08993002464 3.07253464936
3925 3.04415182053 3.02701416276
3930 3.06615837704 3.04889682898
3935 3.01897473176 3.00197881341
3940 3.13685470836 3.11919516126
3945 3.10401494123 3.08654027212
3950 3.03843236955 3.02132691057
3955 2.9251507337 2.9086830162
3960 2.69648925392 2.68130883167
3965 2.11232394529 2.10043219777
3970 1.41018159793 1.40224270032
3975 2.02952331228 2.01809770738
3980 2.60115918185 2.58651543919
3985 2.83850440186 2.8225244771
3990 2.92062237912 2.90418015489
3995 2.95761746565 2.94096697023
4000 2.97447108215 2.95772570594
4005 2.9203592262 2.90391848345
4010 2.76558259971 2.75001320274
4015 2.90600566117 2.88964572466
4020 2.88476410755 2.86852375459
4025 2.47091824099 2.4570077156
4030 2.73022743984 2.71485708177
4035 2.88561830606 2.86937314422
4040 2.88827746347 2.87201733137
4045 2.85557331214 2.83949729456
4050 2.84357632625 2.82756784809
4055 2.82871807282 2.81279324216
4060 2.81485798184 2.79901117931
4065 2.78392471025 2.76825205272
4070 2.75392506792 2.73842129935
4075 2.69115838683 2.67600797576
4080 2.66163994325 2.64665571213
4085 2.58126850907 2.56673674491
4090 2.42841734523 2.41474608707
4095 2.07932086601 2.06761491588
4100 1.41071866891 1.40277674775
4105 1.5359765586 1.52732947325
4110 2.13074781352 2.11875234517
4115 2.40319854869 2.38966926477
4120 2.43386286169 2.42016094692
4125 2.52002369379 2.50583671949
4130 2.48216852139 2.46819466031
4135 2.55571892305 2.54133099536
4140 2.491859844 2.47783142369
4145 2.34775333936 2.33453619527
4150 2.52876783306 2.51453163189
4155 2.53157282954 2.51732083709
4160 2.53716328139 2.52287981637
4165 2.51883890088 2.5046585966
4170 2.48186548186 2.4678933268
4175 2.49061411272 2.4765927055
4180 2.48953706878 2.475521725
4185 2.47605396009 2.46211452215
4190 2.45993871252 2.44608999857
4195 2.45866800413 2.44482644389
4200 2.45212438538 2.43831966373
4205 2.44922301021 2.43543462243
4210 2.44160407713 2.42785858165
4215 2.42179451461 2.408160541
4220 2.41663221368 2.40302730227
4225 2.40115983841 2.38764203181
4230 2.39661628781 2.38312406003
4235 2.38111827098 2.36771329237
4240 2.37977076879 2.36637337621
4245 2.36668493065 2.3533612074
4250 2.35953681771 2.34625333618
4255 2.35320186039 2.33995404276
4260 2.34906246573 2.33583795165
4265 2.30359904564 2.29063047692
4270 2.30364381295 2.2906749922
4275 2.32584066962 2.31274688726
4280 2.31854191048 2.30548921793
4285 2.29483075111 2.28191154524
4290 2.28786690167 2.27498690017
4295 2.27267504327 2.25988056737
4300 2.26456572508 2.25181690219
4305 2.24724260147 2.23459130255
4310 2.23711526202 2.22452097697
4315 2.21155255979 2.19910218506
4320 2.16858179049 2.15637332824
4325 2.110572476 2.09869058872
4330 1.95699493838 1.94597764637
4335 1.61422275832 1.60513517043
4340 1.11062330688 1.10437083221
4345 1.48115656117 1.47281809589
4350 1.86070090966 1.85022572403
4355 2.04204709953 2.03055098948
4360 2.1241482972 2.11218998213
4365 2.15481198972 2.14268104731
4370 2.15771529847 2.1455680113
4375 2.16817681168 2.15597062934
4380 2.16853623692 2.15632803112
4385 2.06393042638 2.05231111979
4390 1.99442670723 1.98319868565
4395 2.14274744742 2.13068442474
4400 2.15178813339 2.13967421437
4405 2.14893471937 2.13683686421
4410 2.12851359626 2.11653070588
4415 2.10939180067 2.09751656024
4420 2.11608438504 2.10417146737
4425 2.11001090788 2.09813218206
4430 2.085042296 2.07330413595
4435 2.06743951965 2.05580045792
4440 2.06438990953 2.05276801618
4445 2.07575734168 2.06407145312
4450 2.06081961771 2.04921782403
