4117 68.0 14.0
4731 283.0 -31.0
8641 429.0 -35.0
6190 415.0 -22.0
5749 413.0 -57.0
4770 261.0 2.0
20454 379.0 -3.0
3563 485.0 -57.0
5666 421.0 19.0
7335 395.0 -9.0
4986 228.0 -196.0
16005 371.0 4.0
6094 418.0 -114.0
4019 113.0 1.0
5211 448.0 21.0
5345 372.0 -63.0
4590 232.0 -74.0
4904 235.0 -57.0
4845 245.0 -43.0
3917 164.0 -71.0
6781 49.0 26.0
4401 255.0 0.0
4451 225.0 9.0
4041 189.0 -50.0
5766 389.0 14.0
4154 185.0 -24.0
5406 463.0 15.0
7103 408.0 -27.0
15500 257.0 -10.0
5723 428.0 -89.0
6619 407.0 -17.0
6260 430.0 0.0
5729 95.0 3.0
12722 420.0 28.0
3258 65.0 -15.0
5339 464.0 17.0
8477 125.0 0.0
3199 78.0 -5.0
5750 120.0 -13.0
6108 391.0 -213.0
5870 423.0 -80.0
7586 397.0 -3.0
4418 457.0 -9.0
4645 138.0 -194.0
5442 460.0 -69.0
11034 399.0 -11.0
4964 272.0 20.0
8864 342.0 -26.0
8822 411.0 -73.0
7223 380.0 22.0
3579 472.0 -5.0
4445 215.0 -52.0
8673 368.0 -48.0
5869 439.0 18.0
3666 20.0 7.0
12006 213.0 19.0
4264 181.0 -73.0
20000 240.0 -12.0
14800 330.0 -1.0
3707 17.0 18.0
4496 75.0 8.0
3830 44.0 13.0
7319 375.0 11.0
4071 66.0 8.0
5657 112.0 9.0
7035 69.0 24.0
33215 328.0 -3.0
34303 346.0 10.0
8409 156.0 -5.0
7623 364.0 15.0
6743 277.0 21.0
3834 154.0 -2.0
6646 369.0 27.0
5131 338.0 -81.0
3568 55.0 6.0
6096 417.0 -122.0
4264 12.0 12.0
5861 124.0 6.0
5732 384.0 12.0
5412 449.0 4.0
4912 230.0 -56.0
5546 141.0 9.0
8900 338.0 -132.0
6800 410.0 -150.0
6958 388.0 16.0
5908 409.0 -82.0
5869 409.0 -160.0
3917 145.0 -37.0
3846 463.0 -17.0
4982 231.0 -79.0
6270 411.0 -286.0
5090 321.0 -43.0
5398 202.0 -6.0
8769 369.0 -23.0
10958 211.0 11.0
4017 467.0 -1.0
5642 380.0 0.0
6467 411.0 11.0
5329 438.0 42.0
3849 126.0 -1.0
3454 478.0 -27.0
3628 487.0 -48.0
5832 427.0 -44.0
4970 449.0 -59.0
5131 236.0 -146.0
5283 337.0 -104.0
8550 239.0 -166.0
3908 467.0 2.0
8080 388.0 -150.0
2902 21.0 -33.0
5994 435.0 5.0
5175 448.0 -42.0
3705 106.0 -10.0
3543 85.0 -2.0
5967 378.0 28.0
3408 66.0 -5.0
6207 386.0 -6.0
4375 77.0 -186.0
2908 37.0 -33.0
4903 227.0 -78.0
4625 462.0 -21.0
8900 335.0 -170.0
4287 219.0 9.0
3541 472.0 -14.0
3797 130.0 -71.0
3965 459.0 -42.0
5172 468.0 -127.0
6083 394.0 3.0
15500 400.0 50.0
6139 400.0 5.0
3793 113.0 -4.0
14054 388.0 8.0
5034 446.0 -44.0
7038 398.0 -2.0
6903 432.0 -110.0
10498 400.0 -39.0
5270 431.0 48.0
3779 146.0 -15.0
3873 468.0 6.0
6131 404.0 -188.0
5281 459.0 13.0
6651 396.0 13.0
3570 91.0 3.0
12500 350.0 -11.0
4206 158.0 2.0
17678 369.0 2.0
7000 44.0 -30.0
11506 223.0 11.0
7200 305.0 -148.0
7140 387.0 0.0
4594 174.0 -1.0
15600 255.0 -3.0
5863 122.0 6.0
5349 458.0 16.0
3597 112.0 -16.0
4953 229.0 -69.0
3788 145.0 -8.0
4396 210.0 -49.0
3364 42.0 -6.0
11464 397.0 2.0
3311 501.0 -34.0
3318 72.0 -14.0
10256 395.0 -7.0
5286 370.0 20.0
18073 341.0 29.0
3484 47.0 -14.0
3316 36.0 6.0
12077 394.0 17.0
12746 422.0 30.0
18663 369.0 4.0
4437 274.0 -2.0
10325 417.0 -124.0
5293 456.0 -12.0
3454 35.0 3.0
26200 305.0 -9.0
6240 100.0 13.0
7804 389.0 -1.0
19500 236.0 7.0
6440 155.0 -105.0
8597 411.0 -37.0
5188 83.0 15.0
6089 421.0 -126.0
16500 217.0 -21.0
4225 459.0 2.0
6151 185.0 9.0
14353 325.0 36.0
8737 445.0 -44.0
5397 148.0 -14.0
25500 370.0 -10.0
4111 461.0 -11.0
6005 402.0 7.0
19300 265.0 -27.0
4196 67.0 4.0
3022 74.0 -12.0
16477 280.0 5.0
11015 399.0 -7.0
32983 340.0 6.0
4286 65.0 11.0
14466 333.0 35.0
8943 136.0 11.0
23445 328.0 4.0
5637 310.0 -36.0
13207 305.0 5.0
7089 380.0 27.0
3796 146.0 19.0
6493 417.0 -13.0
3665 99.0 -4.0
3910 19.0 18.0
3259 482.0 -26.0
6698 407.0 10.0
5002 126.0 4.0
6973 86.0 15.0
6690 131.0 -5.0
5772 439.0 13.0
5283 447.0 13.0
8809 380.0 13.0
7969 399.0 -5.0
7360 399.0 -5.0
8162 391.0 -5.0
5802 99.0 17.0
