100006.txt K0III 6004.0
100030.txt G8IV 5806.0
100470.txt K0III 6004.0
100563.txt F5V 4508.0
100696.txt K0III 6004.0
100889.txt B9V 2908.0
100920.txt G8III 5804.0
101484.txt K0III 6004.0
101501.txt G8V 5808.0
101673.txt K3III 6304.0
101676.txt F6V 4608.0
102070.txt G8III 5804.0
102212.txt M1III 7104.0
102224.txt K0III 6004.0
102328.txt K3III 6304.0
102634.txt F8V 4808.0
102870.txt F8V 4808.0
103047.txt K0IV 6006.0
10307.txt G2V 5208.0
103287.txt A0V 3008.0
10362.txt B5II 2502.0
104304.txt G8IV 5806.0
10476.txt K2V 6208.0
104783.txt G5III 5504.0
10486.txt K3IV 6306.0
104979.txt G8III 5804.0
104985.txt G8III 5804.0
105043.txt K2III 6204.0
105262.txt A0I 3000.0
105546.txt G0III 5004.0
105755.txt G0V 5008.0
105944.txt G8III 5804.0
106365.txt K2III 6204.0
106516.txt F5V 4508.0
106591.txt A3V 3308.0
106714.txt G8III 5804.0
10700.txt G8V 5808.0
107113.txt F5V 4508.0
107213.txt F8V 4808.0
107259.txt A2V 3208.0
107328.txt K0III 6004.0
107383.txt G8III 5804.0
107418.txt K0III 6004.0
10761.txt G8III 5804.0
107752.txt G5V 5508.0
10780.txt K0V 6008.0
107950.txt G5III 5504.0
108225.txt G8III 5804.0
108317.txt G0IV 5006.0
108381.txt K1III 6104.0
108510.txt G0V 5008.0
108954.txt F8V 4808.0
108985.txt K5III 6504.0
109317.txt K0III 6004.0
109345.txt K0III 6004.0
109358.txt G0V 5008.0
109387.txt B5III 2504.0
10975.txt K0III 6004.0
109995.txt A0V 3008.0
110014.txt K2III 6204.0
11007.txt F8V 4808.0
110184.txt G5V 5508.0
110281.txt K5V 6508.0
110679.txt G5III 5504.0
110897.txt G0V 5008.0
110930.txt G8III 5804.0
111028.txt K1IV 6106.0
111335.txt K5III 6504.0
111591.txt K0III 6004.0
111721.txt G5V 5508.0
111765.txt K4III 6404.0
111812.txt G0III 5004.0
112030.txt G8III 5804.0
112127.txt K2III 6204.0
112142.txt M3III 7304.0
112300.txt M3III 7304.0
113022.txt F6V 4608.0
113092.txt K2III 6204.0
113095.txt K0III 6004.0
