 Name SpType Teff e_Teff log(g) e_log(g) [Fe/H] e_[Fe/H]
654 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/130325.txt "K0III       " " 4706" "  26" " 2.53" " 0.08" -0.16 0.06
655 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/130705.txt "K4II-III    " " 4425" "  22" " 2.57" " 0.09" " 0.38" 0.05
656 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/130948.txt "G1V         " " 5993" "  31" " 4.41" " 0.05" -0.01 0.05
657 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/130952.txt "G8III       " " 4789" "  27" " 2.50" " 0.09" -0.40 0.06
658 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/131111.txt "K0III       " " 4724" "  26" " 2.82" " 0.08" -0.27 0.06
659 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/131156.txt "G8V         " " 5530" "  29" " 4.60" " 0.06" -0.08 0.05
660 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/131507.txt "K4III       " " 4162" "  16" " 2.10" " 0.11" -0.11 0.05
661 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/131873.txt "K4III       " " 4067" "  13" " 1.70" " 0.11" -0.13 0.05
662 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/131918.txt "K4III       " " 4148" "  17" " 1.67" " 0.11" -0.03 0.05
663 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/132132.txt "K1III       " " 4681" "  26" " 2.55" " 0.08" " 0.08" 0.06
664 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/132254.txt "F7V         " " 6195" "  30" " 4.15" " 0.05" " 0.05" 0.04
665 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/132345.txt "K3IIICN...  " " 4450" "  24" " 2.53" " 0.10" " 0.36" 0.05
666 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/132883.txt "K1:IV-V:    " " 4534" "  20" " 2.82" " 0.07" " 0.05" 0.04
667 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/133165.txt "K0.5IIIb    " " 4725" "  24" " 2.50" " 0.08" -0.24 0.06
668 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/133208.txt "G8IIIa      " " 5049" "  45" " 2.35" " 0.11" -0.05 0.1
669 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/134063.txt "G5III       " " 4901" "  28" " 2.40" " 0.09" -0.68 0.07
670 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/134083.txt "F5V         " " 6517" "  30" " 4.18" " 0.04" -0.03 0.04
671 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/134169.txt "G1Vw        " " 5878" "  33" " 4.07" " 0.06" -0.77 0.06
672 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/134190.txt "G7.5III     " " 4937" "  30" " 2.54" " 0.09" -0.38 0.07
673 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/134474.txt "G5          " " 5341" "  26" " 4.59" " 0.05" " 0.22" 0.05
95 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/13475.txt "B9V+...     " " 5122" "  74" " 2.65" " 0.20" -0.31 0.17
674 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/135148.txt "K0          " " 4361" "  30" " 0.72" " 0.10" -1.85 0.07
96 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/13530.txt "G8III:var   " " 4863" "  28" " 2.72" " 0.09" -0.57 0.06
97 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/13555.txt "F5V         " " 6432" "  26" " 4.07" " 0.04" -0.19 0.04
675 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/135722.txt "G8III       " " 4915" "  30" " 2.61" " 0.09" -0.42 0.07
676 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/135742.txt "B8V         " 12946 " 449" " 4.12" " 0.16" " 0.33" 0.17
677 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/136064.txt "F9IV        " " 6124" "  34" " 4.02" " 0.06" " 0.02" 0.05
98 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/13611.txt "G8Iab:      " " 5101" "  30" " 2.34" " 0.08" -0.21 0.07
678 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/136202.txt "F8III-IV    " " 6132" "  33" " 3.99" " 0.06" " 0.02" 0.05
679 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/136479.txt "K1III       " " 4957" "  34" " 2.93" " 0.09" " 0.25" 0.07
680 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/136512.txt "K0III       " " 4821" "  25" " 2.54" " 0.08" -0.27 0.06
681 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/136726.txt "K4III       " " 4204" "  20" " 1.99" " 0.13" -0.01 0.06
682 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/136729.txt "A4V         " " 8247" "  63" " 3.93" " 0.07" -0.30 0.08
683 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/137052.txt "F5IV        " " 6477" "  31" " 4.02" " 0.04" -0.04 0.04
684 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/137510.txt "G0IV-V      " " 5886" "  30" " 3.89" " 0.06" " 0.29" 0.04
685 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/137759.txt "K2III       " " 4525" "  22" " 2.63" " 0.08" " 0.11" 0.05
686 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/138279.txt "F5          " " 6172" "  64" " 4.06" " 0.09" -1.35 0.15
687 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/138481.txt "K5III       " " 3905" "  12" " 1.22" " 0.12" -0.01 0.04
688 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/138716.txt "K1IV        " " 4779" "  47" " 3.14" " 0.14" -0.09 0.1
689 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/138776.txt "K0          " " 5584" "  38" " 4.06" " 0.08" " 0.36" 0.06
690 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/138905.txt "K0III       " " 4783" "  45" " 2.42" " 0.14" -0.40 0.11
691 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/139195.txt K0III:CNs... " 4985" "  27" " 2.71" " 0.07" -0.11 0.06
692 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/139446.txt "G8III/IV    " " 5108" "  31" " 2.75" " 0.08" -0.28 0.07
693 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/139457.txt "F8V         " " 6077" "  51" " 4.12" " 0.09" -0.45 0.08
694 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/139641.txt "G7.5IIIb    " " 5000" "  50" " 2.94" " 0.14" -0.52 0.11
695 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/139669.txt "K5III       " " 3949" "  13" " 1.50" " 0.12" " 0.16" 0.04
99 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/13974.txt "G0.5V       " " 5711" "  37" " 4.39" " 0.07" -0.42 0.07
696 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/140027.txt "G8III       " " 5136" "  34" " 2.70" " 0.09" -0.11 0.08
697 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/140283.txt "sdF3        " " 5798" "  52" " 3.59" " 0.10" -2.18 0.11
698 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/140573.txt "K2IIIb      " " 4592" "  24" " 2.69" " 0.08" " 0.25" 0.05
7 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/1406.txt "K3III       " " 4349" "  20" " 2.61" " 0.09" -0.13 0.06
699 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/141003.txt "A2IV        " " 8538" "  78" " 3.75" " 0.10" -0.20 0.1
700 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/141004.txt "G0V         " " 5892" "  30" " 4.19" " 0.06" -0.01 0.05
701 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/141680.txt "G8III       " " 4848" "  41" " 2.59" " 0.12" -0.20 0.1
702 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/141714.txt "G3.5III     " " 5317" "  31" " 3.24" " 0.08" -0.23 0.06
703 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/142091.txt "K1IVa       " " 4844" "  25" " 3.27" " 0.07" " 0.07" 0.05
100 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/14214.txt "G0.5IV      " " 5975" " 105" " 4.11" " 0.23" " 0.03" 0.21
704 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/142198.txt "K0III       " " 4804" "  28" " 2.49" " 0.09" -0.27 0.06
705 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/142373.txt "F8Ve...     " " 5837" "  38" " 3.98" " 0.08" -0.51 0.07
706 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/142860.txt "F6IV        " " 6274" "  30" " 4.15" " 0.05" -0.19 0.04
707 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/142980.txt "K1IV        " " 4493" "  22" " 2.65" " 0.09" " 0.01" 0.05
708 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/143107.txt "K2III       " " 4397" "  20" " 2.09" " 0.09" -0.18 0.05
709 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/143393.txt "K2III       " " 4599" "  24" " 2.68" " 0.09" -0.07 0.05
710 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/143666.txt "G8IIIb      " " 4897" "  29" " 2.61" " 0.08" -0.19 0.07
711 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/143761.txt "G0Va        " " 5799" "  29" " 4.19" " 0.06" -0.26 0.05
712 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/144172.txt "F8          " " 6346" "  28" " 4.13" " 0.04" -0.45 0.04
713 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/144585.txt "G5V         " " 5765" "  30" " 4.10" " 0.06" " 0.28" 0.04
101 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/14489.txt "A2Ia        " 10650 " 136" " 1.74" " 0.04" " 0.26" 0.08
714 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/145328.txt "K1III-IV    " " 4808" "  23" " 3.08" " 0.07" -0.07 0.05
715 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/145502.txt "B2IV        " 19251 " 350" " 3.80" " 0.08" -0.02 0.05
716 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/146051.txt "M0.5III     " " 3770" "   7" " 1.46" " 0.11" -0.04 0.04
102 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/14625.txt "G8III       " " 4836" "  30" " 2.84" " 0.08" " 0.23" 0.06
103 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/14626.txt "K0          " " 4630" "  26" " 2.73" " 0.09" -0.19 0.06
717 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/146791.txt "G9.5IIIb    " " 4918" "  28" " 2.59" " 0.08" -0.13 0.06
718 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/147394.txt "B5IV        " 15868 " 270" " 3.73" " 0.05" " 0.03" 0.05
719 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/147677.txt "K0III       " " 4982" "  26" " 2.93" " 0.07" " 0.11" 0.05
104 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/14770.txt "G8III       " " 5016" "  28" " 2.55" " 0.07" -0.02 0.06
720 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/147700.txt "K0III       " " 4838" "  34" " 2.53" " 0.12" -0.18 0.08
721 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/148293.txt "K2III       " " 4693" "  24" " 2.59" " 0.07" " 0.16" 0.05
722 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/148387.txt "G8IIIb      " " 5066" "  37" " 2.78" " 0.10" -0.07 0.08
723 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/148513.txt "K4III       " " 4127" "  15" " 2.15" " 0.11" " 0.19" 0.05
724 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/148783.txt "M6III       " " 3146" "  10" " 0.45" " 0.18" -1.00 0.0
725 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/148786.txt "G8/K0III    " " 5180" "  30" " 2.82" " 0.07" " 0.20" 0.06
726 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/149161.txt "K4III       " " 3924" "  10" " 1.86" " 0.11" -0.22 0.05
105 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/14938.txt "F5          " " 6116" "  94" " 4.18" " 0.16" -0.35 0.15
727 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/149630.txt "B9V         " 10294 " 189" " 3.99" " 0.09" " 0.03" 0.12
728 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/149661.txt "K2V         " " 5301" "  29" " 4.64" " 0.06" " 0.12" 0.05
729 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/149750.txt "G5          " " 5783" "  37" " 4.06" " 0.07" " 0.16" 0.06
730 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/149757.txt "O9V         " 33262 " 836" " 4.09" " 0.08" -0.09 0.08
731 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/150012.txt "F5IV        " " 6628" "  33" " 3.98" " 0.05" " 0.13" 0.04
732 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/150100.txt "B9.5Vn      " 10271 " 127" " 3.99" " 0.04" -0.33 0.07
733 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/150117.txt "B9V         " 10727 " 157" " 3.91" " 0.08" -0.22 0.09
734 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/150177.txt "F3V         " " 6141" "  30" " 4.04" " 0.05" -0.60 0.05
735 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/150449.txt "K1III       " " 4773" "  28" " 2.67" " 0.09" -0.03 0.06
736 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/150453.txt "F3V         " " 6506" "  35" " 4.06" " 0.05" -0.28 0.05
737 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/150680.txt "G0IV        " " 5780" "  35" " 3.89" " 0.07" " 0.09" 0.06
738 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/150997.txt "G7.5IIIb    " " 5042" "  37" " 2.79" " 0.10" -0.21 0.08
739 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/151431.txt "A3V         " " 8346" "  55" " 3.78" " 0.07" -0.15 0.07
740 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/151613.txt "F2V         " " 6760" "  33" " 4.11" " 0.04" -0.21 0.04
741 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/151769.txt "F7IV        " " 6417" "  37" " 3.89" " 0.06" " 0.13" 0.04
742 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/151862.txt "A1V         " " 9272" " 126" " 3.93" " 0.06" -0.14 0.07
8 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/1522.txt "K1.5III     " " 4530" "  25" " 2.25" " 0.09" " 0.14" 0.05
743 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/152569.txt "F0V         " " 7303" "  34" " 3.87" " 0.05" " 0.22" 0.04
744 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/152601.txt "K2III       " " 4719" "  25" " 2.74" " 0.08" " 0.11" 0.05
745 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/152614.txt "B8V         " 11651 " 164" " 4.03" " 0.07" " 0.09" 0.08
746 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/152792.txt "G0V         " " 5662" "  28" " 3.87" " 0.06" -0.39 0.05
747 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/152815.txt "G8III       " " 4941" "  32" " 2.62" " 0.09" -0.18 0.07
106 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/15318.txt "B9III       " 10055 " 158" " 3.73" " 0.11" -0.43 0.11
107 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/15335.txt "G0V         " " 5912" "  33" " 4.02" " 0.06" -0.18 0.05
748 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/153597.txt "F6Vvar      " " 6304" "  35" " 4.29" " 0.05" -0.14 0.05
749 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/153653.txt "A7V         " " 7561" "  35" " 4.12" " 0.04" -0.11 0.05
750 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/153808.txt "A0V         " " 9609" " 205" " 3.82" " 0.12" -0.25 0.14
751 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/154278.txt "K1III       " " 4718" "  31" " 2.61" " 0.10" -0.28 0.07
752 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/154431.txt "A5V         " " 7821" "  49" " 4.03" " 0.05" -0.11 0.06
753 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/154445.txt "B1V         " 22604 " 728" " 3.78" " 0.09" -0.02 0.05
754 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/154543.txt "K2          " " 3576" "   7" " 1.27" " 0.14" -0.03 0.05
755 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/154660.txt "A9V         " " 7663" "  33" " 3.97" " 0.05" -0.18 0.06
756 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/155358.txt "G0          " " 5903" "  25" " 4.12" " 0.05" -0.66 0.04
757 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/155514.txt "A8V         " " 7591" "  43" " 3.87" " 0.05" -0.09 0.06
758 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/155763.txt "B6III       " 14064 " 207" " 3.79" " 0.07" " 0.13" 0.07
108 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/15596.txt "G5III-IV    " " 4853" "  23" " 2.85" " 0.07" -0.65 0.05
759 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/156164.txt "A3IV        " "     " "    " "     " "     " "     " 
760 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/157089.txt "F9V         " " 5790" "  29" " 4.05" " 0.06" -0.57 0.05
761 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/157198.txt "A2V         " " 9547" " 141" " 3.89" " 0.07" -0.28 0.08
762 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/157214.txt "G0V         " " 5666" "  33" " 4.21" " 0.07" -0.40 0.06
763 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/157373.txt "F4V         " " 6492" "  33" " 4.19" " 0.04" -0.46 0.05
764 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/157466.txt "F8V         " " 6059" "  26" " 4.30" " 0.04" -0.42 0.04
765 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/157740.txt "A3V         " " 8573" "  69" " 3.42" " 0.09" -0.05 0.06
766 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/157741.txt "B9V         " 10999 " 174" " 3.88" " 0.11" -0.19 0.11
767 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/157910.txt "G5III+...   " " 5232" "  32" " 2.65" " 0.08" -0.09 0.07
109 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/15798.txt "F5V         " " 6470" "  47" " 4.07" " 0.06" -0.15 0.06
768 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/158148.txt "B5V         " 15545 " 238" " 3.81" " 0.10" -0.03 0.09
769 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/158261.txt "A0V         " " 9517" " 161" " 3.64" " 0.11" -0.10 0.1
770 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/158352.txt "A8V         " " 7494" "  40" " 3.85" " 0.05" -0.06 0.05
771 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/158414.txt "A4V         " " 8276" "  61" " 3.81" " 0.08" -0.19 0.08
772 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/158485.txt "A4V         " " 8371" "  73" " 3.96" " 0.08" -0.23 0.09
773 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/158614.txt "G9IV-V...   " " 5602" "  30" " 4.40" " 0.06" " 0.06" 0.05
774 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/158716.txt "A1V         " " 8629" "  78" " 3.66" " 0.08" -0.04 0.06
775 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/158899.txt "K4III       " " 4155" "  14" " 1.76" " 0.09" -0.03 0.04
776 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/159139.txt "A1V         " " 9405" " 188" " 3.81" " 0.10" -0.55 0.14
110 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/15920.txt "G8III       " " 5119" "  29" " 2.84" " 0.07" -0.08 0.06
777 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/159307.txt "F8          " " 6333" "  30" " 4.13" " 0.04" -0.57 0.05
778 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/159332.txt "F6V         " " 6264" "  37" " 4.00" " 0.06" -0.13 0.05
779 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/160054.txt "A5V         " " 7890" "  53" " 3.92" " 0.05" -0.05 0.06
780 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/160315.txt "K0III+...   " " 4980" "  29" " 2.88" " 0.08" " 0.10" 0.06
781 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/160762.txt "B3IV        " 19109 " 383" " 3.80" " 0.05" -0.04 0.04
782 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/160765.txt "A1V         " " 9235" " 162" " 3.91" " 0.08" -0.40 0.1
783 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/160933.txt "F9V         " " 5869" "  36" " 3.92" " 0.07" -0.28 0.06
784 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/161056.txt "B1.5V       " 21672 1001 " 3.62" " 0.14" " 0.00" 0.09
785 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/161096.txt "K2III       " " 4593" "  24" " 2.69" " 0.08" " 0.25" 0.05
786 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/161693.txt "A2V         " " 9391" " 163" " 3.80" " 0.10" -0.40 0.11
787 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/161797.txt "G5IV        " " 5566" "  32" " 3.93" " 0.07" " 0.28" 0.05
788 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/161817.txt "sdA2        " " 7631" "    " " 3.11" "     " -1.54 
789 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/161868.txt "A0V         " " 9608" " 212" " 3.93" " 0.09" -0.60 0.15
790 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/162555.txt "K1III       " " 4702" "  25" " 2.70" " 0.08" -0.10 0.05
791 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/162570.txt "A9V         " " 7511" "  38" " 3.87" " 0.05" " 0.02" 0.05
792 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/163506.txt "F2Ibe       " " 7826" "  98" " 1.48" " 0.08" " 0.01" 0.11
793 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/163588.txt "K2III       " " 4483" "  25" " 2.65" " 0.10" " 0.04" 0.06
794 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/163624.txt "A3V         " " 8422" "  63" " 3.77" " 0.07" -0.09 0.06
795 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/163917.txt "G9III       " " 4965" "  40" " 2.78" " 0.10" " 0.16" 0.08
796 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/163989.txt "F6IV-Vs     " " 6216" "  36" " 3.94" " 0.06" -0.04 0.05
797 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/163993.txt "G8III       " " 5087" "  28" " 2.91" " 0.07" " 0.07" 0.06
798 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/164136.txt "F2II        " " 6979" "  45" " 3.80" " 0.05" -0.07 0.05
799 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/164259.txt "F2IV        " " 6764" "  28" " 4.09" " 0.03" " 0.01" 0.03
800 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/164284.txt "B2Ve        " 19706 " 635" " 3.69" " 0.14" " 0.00" 0.08
801 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/164353.txt "B5Ib        " 18738 " 590" " 3.03" " 0.08" -0.01 0.06
802 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/164577.txt "A2Vn        " " 9479" " 169" " 4.02" " 0.07" -0.14 0.13
111 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/16458.txt "G8p...      " " 4484" "  17" " 1.57" " 0.06" -0.53 0.04
803 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/165029.txt "A0V         " " 9581" " 178" " 3.82" " 0.10" -0.51 0.13
804 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/165195.txt "K3p         " " 4398" "  30" " 0.78" " 0.10" -2.21 0.06
805 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/165341.txt "K0V         " " 5232" "  24" " 4.57" " 0.05" " 0.07" 0.05
806 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/165358.txt "A2V         " " 8948" " 114" " 3.94" " 0.07" -0.25 0.07
807 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/165401.txt "G0V         " " 5766" "  28" " 4.43" " 0.05" -0.44 0.05
808 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/165645.txt "F0V         " " 7294" "  38" " 3.99" " 0.05" " 0.02" 0.05
809 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/165687.txt "K0III       " " 4667" "  23" " 2.56" " 0.08" -0.02 0.05
810 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/165760.txt "G8III       " " 5029" "  26" " 2.69" " 0.07" " 0.03" 0.06
811 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/165908.txt "F7V         " " 6013" "  31" " 4.19" " 0.05" -0.56 0.05
812 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/166014.txt "B9.5V       " 10590 " 250" " 4.17" " 0.08" -0.06 0.15
813 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/166046.txt "A3V         " " 8326" " 102" " 3.99" " 0.10" -0.18 0.12
814 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/166161.txt "G5          " " 5064" "  56" " 2.05" " 0.16" -1.44 0.15
815 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/166207.txt "K0III       " " 4806" "  30" " 2.67" " 0.09" " 0.02" 0.06
816 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/166208.txt "G8IIICN...  " " 5084" "  29" " 2.71" " 0.07" " 0.10" 0.06
817 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/166229.txt "K2.5III     " " 4572" "  20" " 2.87" " 0.07" " 0.16" 0.04
112 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/16673.txt "F6V         " " 6219" "  46" " 4.29" " 0.07" -0.05 0.06
818 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/167006.txt "M3III       " " 3518" "   5" " 1.16" " 0.11" -0.14 0.04
819 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/167042.txt "K1III       " " 4959" "  23" " 3.34" " 0.06" -0.01 0.05
820 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/167588.txt "F8V         " " 5945" "  32" " 4.02" " 0.06" -0.32 0.05
821 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/167768.txt "G3III       " " 4945" "  28" " 2.32" " 0.08" -0.72 0.07
