 Name SpType Teff e_Teff log(g) e_log(g) [Fe/H] e_[Fe/H]
569 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/114092.txt "K4III       " " 4199" "  16" " 2.42" " 0.10" " 0.21" 0.05
570 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/114113.txt "K3III       " " 4507" "  23" " 2.41" " 0.09" -0.10 0.05
571 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/114203.txt "K0          " " 4869" "  28" " 2.63" " 0.08" -0.13 0.06
572 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/114256.txt "K0III       " " 4834" "  26" " 2.66" " 0.08" " 0.01" 0.06
573 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/114287.txt "K5III       " " 3992" "  12" " 1.90" " 0.12" " 0.06" 0.04
574 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/114330.txt "A1IVs+...   " " 9550" " 130" " 3.85" " 0.07" -0.23 0.07
575 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/114357.txt "K3III       " " 4426" "  21" " 2.65" " 0.09" " 0.14" 0.05
576 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/114642.txt "F6V         " " 6401" "  30" " 4.04" " 0.04" -0.12 0.04
577 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/114710.txt "F9.5V       " " 6004" "  29" " 4.36" " 0.05" " 0.03" 0.04
578 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/114946.txt "G8III/IV    " " 5060" "  26" " 3.23" " 0.07" -0.37 0.06
579 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/114961.txt "M7III       " " 3080" "  19" " 0.36" " 0.44" -1.00 0.0
580 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/115004.txt "K0III       " " 4905" "  24" " 2.37" " 0.06" " 0.09" 0.05
86 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/11503.txt "A1p...      " 10990 " 241" " 3.70" " 0.21" " 0.43" 0.14
581 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/115061.txt "K0          " " 4559" "  21" " 2.74" " 0.08" -0.02 0.05
582 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/115136.txt "K2III       " " 4611" "  22" " 2.59" " 0.07" " 0.03" 0.05
583 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/115202.txt "K1III       " " 4791" "  23" " 3.19" " 0.07" -0.06 0.05
584 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/115383.txt "G0Vs        " " 6024" "  32" " 4.26" " 0.06" " 0.15" 0.04
585 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/115444.txt "K0          " " 4874" "  46" " 1.91" " 0.14" -2.52 0.1
586 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/115539.txt "G8III-IV    " " 4902" "  24" " 2.48" " 0.07" -0.43 0.06
587 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/115589.txt "G8IV        " " 5228" "  74" " 4.42" " 0.14" " 0.25" 0.13
588 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/115604.txt "F3III       " " 7176" "  47" " 3.61" " 0.07" " 0.54" 0.04
589 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/115617.txt "G5V         " " 5598" "  32" " 4.46" " 0.06" " 0.01" 0.05
87 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/11592.txt "F5V         " " 6328" "  47" " 4.21" " 0.06" -0.34 0.07
590 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/116292.txt "K0III       " " 4955" "  25" " 2.68" " 0.07" -0.07 0.06
88 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/11636.txt "A5V         " " 8061" "  43" " 3.88" " 0.04" " 0.07" 0.04
591 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/116656.txt "A2V         " " 9135" " 139" " 3.89" " 0.07" -0.03 0.08
592 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/116658.txt B1III-IV+... 15073 1892 " 3.60" " 0.22" -0.01 0.07
593 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/116976.txt "K1IIICN     " " 4796" "  28" " 2.63" " 0.08" " 0.20" 0.06
594 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/117176.txt "G5V         " " 5502" "  30" " 3.89" " 0.07" -0.10 0.05
595 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/117243.txt "G5III       " " 5855" "  34" " 4.16" " 0.07" " 0.24" 0.05
89 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/11749.txt "K0III       " " 4713" "  30" " 2.44" " 0.10" -0.21 0.07
596 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/117818.txt "K0III       " " 4904" "  24" " 2.53" " 0.07" -0.32 0.06
597 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/117876.txt "G8III       " " 4766" "  29" " 2.50" " 0.10" -0.46 0.07
598 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/118055.txt "K0w...      " " 4380" "  27" " 0.78" " 0.10" -1.86 0.07
599 /home/avinash/Dropbox/PyCharm/IFAS/CFLIB/118098.txt "A3V         " " 8347" "  77" " 3.93" " 0.09" -0.26 0.1
