0002  K3I              4117   0.68    0.14
0005  K1IV             4731   2.83   -0.31
0006  A1V              8641   4.29   -0.35
0007  F8IV             6190   4.15   -0.22
0008  G2V              5749   4.13   -0.57
0009  G9III            4770   2.61    0.02
0011  B2IV             20454  3.79   -0.03
0012  M6V              3563   4.85   -0.57
0013  G0V              5666   4.21    0.19
0015  A7III            7335   3.95   -0.09
0016  G5III            4986   2.28   -1.96
0020  B5V              16005  3.71    0.04
0022  F5V              6094   4.18   -1.14
0024  K5III            4019   1.13    0.01
0025  K0V              5211   4.48    0.21
0026  G4V              5345   3.72   -0.63
0033  G8IV             4590   2.32   -0.74
0035  G5IV             4904   2.35   -0.57
0037  G8III            4845   2.45   -0.43
0038  K5II             3917   1.64   -0.71
0044  G4I              6781   0.49    0.26
0045  K2III            4401   2.55    0.00
0048  K2II             4451   2.25    0.09
0059  K4III            4041   1.89   -0.50
0061  G2IV             5766   3.89    0.14
0065  K3III            4154   1.85   -0.24
0069  K0V              5406   4.63    0.15
0071  F2V              7103   4.08   -0.27
0078  B5I              15500  2.57   -0.10
0081  G1V              5723   4.28   -0.89
0083  F4V              6619   4.07   -0.17
0092  F6V              6260   4.30    0.00
0096  G0II             5729   0.95    0.03
0097  B7IV             12722  4.20    0.28
0099  M4III            3258   0.65   -0.15
0100  K1V              5339   4.64    0.17
0102  A5I              8477   1.25    0.00
0103  M6III            3199   0.78   -0.05
0104  G0I              5750   1.20   -0.13
0107  F0.5V            6108   3.91   -2.13
0123  F9V              5870   4.23   -0.80
0129  A7V              7586   3.97   -0.03
0135  K4V              4418   4.57   -0.09
0142  K0V              4645   1.38   -1.94
0144  G8V              5442   4.60   -0.69
0148  B9IV             11034  3.99   -0.11
0152  G9.5III          4964   2.72    0.20
0155  A2V              8864   3.42   -0.26
0166  A0V              8822   4.11   -0.73
0171  F2IV             7223   3.80    0.22
0183  M1V              3579   4.72   -0.05
0189  K1III            4445   2.15   -0.52
0193  A3V              8673   3.68   -0.48
0198  G0III            5869   4.39    0.18
0199  M2I              3666   0.20    0.07
0200  A0I              12006  2.13    0.19
0201  K1.5III          4264   1.81   -0.73
0204  B2I              20000  2.40   -0.12
0206  B5IV             14800  3.30   -0.01
0211  M1I              3707   0.17    0.18
0228  G8I              4496   0.75    0.08
0234  M1II             3830   0.44    0.13
0237  A9III            7319   3.75    0.11
0239  K4I              4071   0.66    0.08
0240  G0I              5657   1.12    0.09
0242  F8I              7035   0.69    0.24
0251  O7I              33215  3.28   -0.03
0252  O9I              34303  3.46    0.10
0256  A5I              8409   1.56   -0.05
0260  F0III            7623   3.64    0.15
0261  F3IV             6743   2.77    0.21
0264  M0III            3834   1.54   -0.02
0265  F6III            6646   3.69    0.27
0266  G6V              5131   3.38   -0.81
0271  M3III            3568   0.55    0.06
0272  F0V              6096   4.17   -1.22
0276  K3I              4264   0.12    0.12
0284  F7.5II           5861   1.24    0.06
0292  G1IV             5732   3.84    0.12
0297  K0V              5412   4.49    0.04
0307  G4III            4912   2.30   -0.56
0313  G2I              5546   1.41    0.09
0317  A0V              8900   3.38   -1.32
0318  A5V              6800   4.10   -1.50
0324  F3III            6958   3.88    0.16
0325  F7.5V            5908   4.09   -0.82
0329  F3V              5869   4.09   -1.60
0333  K4.5III          3917   1.45   -0.37
0339  M0V              3846   4.63   -0.17
0340  G6III            4982   2.31   -0.79
0348  G0IV             6270   4.11   -2.86
0349  G6IV             5090   3.21   -0.43
0361  G1II             5398   2.02   -0.06
0364  A3IV             8769   3.69   -0.23
0371  A0I              10958  2.11    0.11
0373  K7V              4017   4.67   -0.01
0379  G1.5V            5642   3.80    0.00
0381  F6IV             6467   4.11    0.11
0395  K3V              5329   4.38    0.42
0397  M0III            3849   1.26   -0.01
0398  M2V              3454   4.78   -0.27
0399  M2V              3628   4.87   -0.48
0408  G2.5V            5832   4.27   -0.44
0410  K0V              4970   4.49   -0.59
0432  G2III            5131   2.36   -1.46
0439  G5V              5283   3.37   -1.04
0446  A0V              8550   2.39   -1.66
0452  M0.5V            3908   4.67    0.02
0453  A0III            8080   3.88   -1.50
0459  M8III            2902   0.21   -0.33
0463  F9.5V            5994   4.35    0.05
0475  G9V              5175   4.48   -0.42
0481  M2III            3705   1.06   -0.10
0486  M3III            3543   0.85   -0.02
0488  G0IV             5967   3.78    0.28
0497  M4III            3408   0.66   -0.05
0502  F7IV             6207   3.86   -0.06
0505  K0II             4375   0.77   -1.86
0508  M7.5III          2908   0.37   -0.33
0514  G3IV             4903   2.27   -0.78
0520  K5V              4625   4.62   -0.21
0523  B9V              8900   3.35   -1.70
0528  K2.5III          4287   2.19    0.09
0531  M1V              3541   4.72   -0.14
0535  M0.5II           3797   1.30   -0.71
0537  K8V              3965   4.59   -0.42
0543  K0.5V            5172   4.68   -1.27
0545  F9IV             6083   3.94    0.03
0548  B3V              15500  4.00    0.50
0550  F8III            6139   4.00    0.05
0555  M1III            3793   1.13   -0.04
0563  B6IV             14054  3.88    0.08
0569  K2V              5034   4.46   -0.44
0575  F0IV             7038   3.98   -0.02
0577  A2I              6903   4.32   -1.10
0578  A0V              10498  4.00   -0.39
0587  K0V              5270   4.31    0.48
0590  M0.5III          3779   1.46   -0.15
0591  M3V              3873   4.68    0.06
0596  F8V              6131   4.04   -1.88
0609  K0V              5281   4.59    0.13
0610  F5III            6651   3.96    0.13
0614  M3III            3570   0.91    0.03
0621  B6III            12500  3.50   -0.11
0624  K3II             4206   1.58    0.02
0638  B3IV             17678  3.69    0.02
0643  F3I              7000   0.44   -0.30
0645  A0I              11506  2.23    0.11
0647  A2VI             7200   3.05   -1.48
0653  F2II             7140   3.87    0.00
0654  K0.5II           4594   1.74   -0.01
0655  B5I              15600  2.55   -0.03
0658  G0II             5863   1.22    0.06
0659  K0V              5349   4.58    0.16
0669  M3III            3597   1.12   -0.16
0670  G3III            4953   2.29   -0.69
0674  M1III            3788   1.45   -0.08
0677  K1.5III          4396   2.10   -0.49
0685  M4.5II           3364   0.42   -0.06
0688  B8V              11464  3.97    0.02
0690  M5V              3311   5.01   -0.34
0691  M5.2III          3318   0.72   -0.14
0698  A0V              10256  3.95   -0.07
0700  G9IV             5286   3.70    0.20
0701  B6IV             18073  3.41    0.29
0704  M4II             3484   0.47   -0.14
0705  M5III            3316   0.36    0.06
0706  B9III            12077  3.94    0.17
0714  B8II             12746  4.22    0.30
0715  B2.5IV           18663  3.69    0.04
0719  K3IV             4437   2.74   -0.02
0722  A0V              10325  4.17   -1.24
0724  K0V              5293   4.56   -0.12
0727  M4.5III          3454   0.35    0.03
0732  B0.5I            26200  3.05   -0.09
0744  G5I              6240   1.00    0.13
0748  A4III            7804   3.89   -0.01
0751  B1.5I            19500  2.36    0.07
0753  F1III            6440   1.55   -1.05
0761  A5.5V            8597   4.11   -0.37
0770  G8I              5188   0.83    0.15
0777  F7V              6089   4.21   -1.26
0778  B3I              16500  2.17   -0.21
0785  K6V              4225   4.59    0.02
0787  F7.5II           6151   1.85    0.09
0794  B5III            14353  3.25    0.36
0796  A1IV             8737   4.45   -0.44
0797  G4I              5397   1.48   -0.14
0800  B2III            25500  3.70   -0.10
0804  M0V              4111   4.61   -0.11
0806  G0IV             6005   4.02    0.07
0809  B2I              19300  2.65   -0.27
0814  K2I              4196   0.67    0.04
0816  M7III            3022   0.74   -0.12
0820  B8I              16477  2.80    0.05
0823  B9.5V            11015  3.99   -0.07
0824  O8I              32983  3.40    0.06
0827  K1.5I            4286   0.65    0.11
0831  B8III            14466  3.33    0.35
0836  A3I              8943   1.36    0.11
0837  B1.5I            23445  3.28    0.04
0848  G0II             5637   3.10   -0.36
0852  B7III            13207  3.05    0.05
0856  F2IV             7089   3.80    0.27
0859  M1III            3796   1.46    0.19
0862  F5IV             6493   4.17   -0.13
0871  M2III            3665   0.99   -0.04
0873  K4.5I            3910   0.19    0.18
0884  M6V              3259   4.82   -0.26
0889  F1V              6698   4.07    0.10
0891  G5I              5002   1.26    0.04
0896  F8I              6973   0.86    0.15
0898  F5I              6690   1.31   -0.05
0902  G3V              5772   4.39    0.13
0903  K0V              5283   4.47    0.13
0907  A2IV             8809   3.80    0.13
0920  A6V              7969   3.99   -0.05
0921  A9V              7360   3.99   -0.05
0922  A4V              8162   3.91   -0.05
0938  G1I              5802   0.99    0.17
