Wave Flux FluxNorm
3600 4.51300457524 4.44573559081
3603 4.29343705006 4.22944084858
3606 4.26441866936 4.20085500389
3609 4.04210651633 3.9818565441
3612 4.15873142981 4.09674309474
3615 4.19909660901 4.13650660723
3618 3.98425137551 3.92486376815
3621 4.11384280309 4.05252355937
3624 4.14489406217 4.08311198119
3627 4.24385517821 4.18059802366
3630 3.84185034424 3.7845853079
3633 4.03583200763 3.97567556065
3636 4.07564754694 4.01489762595
3639 4.01249088134 3.95268234755
3642 3.73896662675 3.68323513267
3645 3.80674701831 3.75000521767
3648 3.76827240682 3.71210409287
3651 3.71229812879 3.65696414434
3654 3.93167887327 3.87307488994
3657 3.9000170013 3.84188495677
3660 3.72660908524 3.67106178757
3663 3.6549819828 3.60050232917
3666 3.73135965952 3.67574155175
3669 3.62764999915 3.57357774479
3672 3.7054820076 3.65024962143
3675 3.59606949388 3.5424679655
3678 3.42482614399 3.37377709835
3681 3.61474591328 3.56086600191
3684 3.50016945968 3.44799737766
3687 3.32706058942 3.2774687968
3690 3.59244923503 3.53890166874
3693 3.90481705715 3.84661346497
3696 3.38682786514 3.33634520617
3699 4.26215353226 4.19862362999
3702 3.70072066572 3.64555925015
3705 3.20454644718 3.15678079982
3708 4.28331158833 4.21946631281
3711 2.95142455634 2.90743183947
3714 4.1148346095 4.05350058232
3717 4.94165552036 4.86799724177
3720 3.26554634971 3.21687146297
3723 3.27182331991 3.22305487125
3726 4.76895945961 4.69787531727
3729 4.94065192977 4.86700861029
3732 3.49034498618 3.4383193437
3735 2.58161280601 2.54313235052
3738 4.31064789065 4.24639515148
3741 5.01913610461 4.9443229324
3744 4.67392804789 4.60426040456
3747 3.52896950367 3.47636814007
3750 2.25629770665 2.22266626383
3753 4.01392056184 3.95409071782
3756 4.79417009577 4.72271017408
3759 4.33955151391 4.27486794926
3762 4.7212081848 4.65083580325
3765 4.39816620315 4.33260895212
3768 3.18966862278 3.14212473814
3771 2.31678349677 2.28225047772
3774 3.72806173779 3.67249278748
3777 4.72093248139 4.65056420937
3780 5.26892880645 5.19039232728
3783 5.2278222376 5.14989847598
3786 4.98001914857 4.90578903757
3789 4.62760380084 4.55862664763
3792 4.16278113355 4.10073243527
3795 2.91142621878 2.86802970062
3798 1.86834681386 1.84049800701
3801 3.35762595819 3.3075785708
3804 4.16248586408 4.10044156696
3807 4.44355101733 4.37731727898
3810 4.95938707217 4.88546449439
3813 4.51573000495 4.44842039639
3816 4.65815810487 4.58872552181
3819 4.70466199526 4.63453624439
3822 4.60175660272 4.53316471718
3825 3.90726037095 3.84902035974
3828 3.58220828155 3.52881336269
3831 3.03697446953 2.99170658094
3834 1.76836597776 1.74200744401
3837 2.17333528638 2.14094044718
3840 2.97792879583 2.9335410177
3843 3.77185997248 3.71563818375
3846 4.13893819135 4.07724488612
3849 4.2237518037 4.16079430176
3852 4.45208876688 4.38572776836
3855 4.29316275224 4.22917063933
3858 4.1761354501 4.11388769788
3861 4.34143338803 4.27672177293
3864 4.37505510133 4.30984233485
3867 4.35675228844 4.29181233614
3870 4.29885058546 4.23477369206
3873 3.9308592962 3.87226752914
3876 3.91423266496 3.85588872761
3879 3.40918140054 3.35836554898
3882 3.22432884177 3.1762683262
3885 2.49554061219 2.45834311332
3888 1.43551860372 1.41412135562
3891 2.13666781872 2.10481952966
3894 2.83799761252 2.79569559088
3897 3.24732437398 3.19892109649
3900 3.22168265011 3.17366157758
3903 3.57158007792 3.51834357868
3906 3.61349620145 3.55963491776
3909 4.02017602633 3.96025294094
3912 3.8484243416 3.79106131597
3915 3.88892396522 3.8309572689
3918 3.8272837877 3.77023587445
3921 3.83403430791 3.77688577418
3924 3.90842833353 3.85017091315
3927 3.71428361315 3.65892003388
3930 3.31181124053 3.26244674842
3933 1.53872059972 1.51578506523
3936 3.25569914423 3.20717103587
3939 3.71823276994 3.66281032617
3942 3.7008564249 3.64569298576
3945 3.65659313909 3.60208947023
3948 3.57922417222 3.52587373326
3951 3.51526316965 3.46286610701
3954 3.4958209094 3.44371364507
3957 3.20634134327 3.15854894194
3960 3.03397651549 2.98875331317
3963 2.70260763828 2.66232368375
3966 1.90100725176 1.8726716219
3969 0.817135452481 0.804955568522
3972 1.80696567618 1.78003179124
3975 2.52350623945 2.48589189648
3978 2.8744055916 2.83156088764
3981 3.12476076921 3.07818437425
3984 3.32952198237 3.27989350125
3987 3.37462022799 3.32431953101
3990 3.43831100871 3.38706096324
3993 3.51745784496 3.4650280694
3996 3.43609129732 3.38487433795
3999 3.49765356793 3.44551898675
4002 3.56408584136 3.51096104812
4005 3.36321903173 3.31308827628
4008 3.55512872107 3.50213743896
4011 3.47794343569 3.42610264561
4014 3.49885713171 3.4467046107
